Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ig3DcNoj3UfPdhL2Rw9J1,Turbulent,FANDOM,Waterparks,2019-10-11,162577,57,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,pop punk,Hopeless Records,0.532,0.841,4,-4.993,0,0.172,0.0272,0.0,0.136,0.23,172.004,4
spotify:track:1fkZxynGI2QzvSusYVOYq2,bangbangbang,bangbangbang,Deal Casino,2019-08-02,392970,37,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Deal Casino Music,0.3,0.646,2,-12.712,1,0.0421,0.00448,0.345,0.465,0.186,83.381,4
spotify:track:4djIFfof5TpbSGRZUpsTXq,Talk Too Much,How Will You Know If You Never Try,COIN,2017-04-21,188639,66,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,StarTime International/Columbia,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966,4
spotify:track:3x7NGlfDKQYN2wnwEnL7r9,The Kids Aren't Alright,American Beauty/American Psycho,Fall Out Boy,2015-01-16,260920,59,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"emo,pop punk",Island Records,0.615,0.763,6,-4.189,1,0.0322,0.000246,0.141,0.298,0.333,115.991,4
spotify:track:2JqyquFrqaoKt0SRr91meT,Dead Inside,Dead Inside,Younger Hunger,2018-10-12,200240,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Regnuoy Regnuh,0.701,0.87,6,-3.899,0,0.0359,0.051,0.0,0.276,0.768,120.031,4
spotify:track:3znPiywA0q1VK2jgAZFDoI,Irresistible,American Beauty/American Psycho,Fall Out Boy,2015-01-16,206506,65,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"emo,pop punk",Island Records,0.485,0.938,2,-3.123,1,0.112,0.0706,0.0,0.236,0.444,165.049,4
spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,Hot Fuss,The Killers,2004,197200,85,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,alternative rock,Island Records,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,4
spotify:track:3zRrr0SS4saZOfihrSvlqy,Big Cat Judgement Day,With Confidence,With Confidence,2021-08-27,151407,45,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,pop punk,Hopeless Records,0.538,0.802,1,-5.865,1,0.0412,0.00109,0.0,0.0993,0.735,96.004,4
spotify:track:19YmvsVCetCBeVj6O2mljR,Still Breathing,Revolution Radio,Green Day,2016-10-07,224760,65,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"punk,pop punk",Reprise,0.54,0.902,1,-3.577,1,0.0442,0.0142,0.0,0.0756,0.692,75.033,4
spotify:track:1VeAXUa20YkzfEi1Zk2y0o,All These Nights,All These Nights,Tom Grennan,2022-07-15,154062,48,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Insanity Records,0.485,0.859,9,-2.479,1,0.049,0.000267,0.0,0.147,0.559,159.908,4
spotify:track:5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,AM,Arctic Monkeys,2013-09-09,272394,89,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"indie,garage rock",Domino Recording Co,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
